name,group,physicians_number,s_sus_01,s_sus_02,s_sus_03,s_sus_04,s_sus_05,s_sus_06,s_sus_07,s_sus_08,s_sus_09,s_sus_10,m_sus_01,m_sus_02,m_sus_03,m_sus_04,m_sus_05,m_sus_06,m_sus_07,m_sus_08,m_sus_09,m_sus_10
Clinician 26,middle,26,1,1,4,1,4,1,5,2,4,5,5,1,5,1,5,1,5,1,5,1
Clinician 27,senior,27,1,1,5,1,4,2,5,2,5,4,3,2,4,1,5,1,5,1,3,1
Clinician 28,junior,28,1,1,5,1,5,1,5,1,4,1,3,1,3,1,5,5,5,1,5,1
Clinician 29,senior,29,1,1,5,5,5,1,5,1,3,3,5,1,5,5,5,1,5,1,5,3
Clinician 30,middle,30,4,1,5,1,5,1,5,1,5,1,5,1,5,1,5,1,5,1,5,5
Clinician 31,intern,31,2,1,5,1,3,1,4,1,3,1,5,1,5,1,5,1,5,1,5,1
,,physicians_number,,,,,,,,,,,,,,,,,,,,
,,1,,,,,,,,,,,,,,,,,,,,
,,2,,,,,,,,,,,,,,,,,,,,
,,3,,,,,,,,,,,,,,,,,,,,
,,4,,,,,,,,,,,,,,,,,,,,
,,5,,,,,,,,,,,,,,,,,,,,
,,6,,,,,,,,,,,,,,,,,,,,
,,7,,,,,,,,,,,,,,,,,,,,
,,8,,,,,,,,,,,,,,,,,,,,
,,9,,,,,,,,,,,,,,,,,,,,
,,10,,,,,,,,,,,,,,,,,,,,
,,11,,,,,,,,,,,,,,,,,,,,
,,12,,,,,,,,,,,,,,,,,,,,
,,13,,,,,,,,,,,,,,,,,,,,
,,14,,,,,,,,,,,,,,,,,,,,
,,15,,,,,,,,,,,,,,,,,,,,
,,16,,,,,,,,,,,,,,,,,,,,
,,17,,,,,,,,,,,,,,,,,,,,
,,18,,,,,,,,,,,,,,,,,,,,
,,19,,,,,,,,,,,,,,,,,,,,
,,20,,,,,,,,,,,,,,,,,,,,
,,21,,,,,,,,,,,,,,,,,,,,
,,22,,,,,,,,,,,,,,,,,,,,
,,23,,,,,,,,,,,,,,,,,,,,
,,24,,,,,,,,,,,,,,,,,,,,
,,25,,,,,,,,,,,,,,,,,,,,
,,26,,,,,,,,,,,,,,,,,,,,
,,27,,,,,,,,,,,,,,,,,,,,
,,28,,,,,,,,,,,,,,,,,,,,
,,29,,,,,,,,,,,,,,,,,,,,
,,30,,,,,,,,,,,,,,,,,,,,
,,31,,,,,,,,,,,,,,,,,,,,
,,physicians_number,,,,,,,,,,,,,,,,,,,,
,,1,,,,,,,,,,,,,,,,,,,,
,,2,,,,,,,,,,,,,,,,,,,,
